text,mood,aiscore
I feel amazing today everything went so well!,5,5
I'm a bit stressed with all the exams coming up.,3,3
Had a relaxing day spent time reading and listening to music.,4,4
Feeling sad and unmotivated nothing seems right.,2,2
Excited for the weekend trip with friends!,5,5
Struggling to focus on my assignments feeling overwhelmed.,2,2
Today was okay nothing special happened.,3,3
I feel very happy after helping a friend in need.,5,5
Anxious about my upcoming presentation heart racing.,2,2
Content with my progress in school feeling balanced.,4,4
good i was doing so good today,5,5
i am very happy today!!,5,5
i lost my lunch money,3,2
i feel blue,3,2
im doing pretty good today!,5,5
im doing alright,3,2
im doing good today i was so happy,5,5
just a meh day,3,2
im doing good today!,5,5
i feel down today,2,1
im doing so good today,5,5
im doing so good today,5,5
i had an excellent day today,5,5
im doing very good today,5,5
Im feeling very good today!,5,5
i feel better today,5,5
i felt good after what happened today,5,5
SO GOOD,5,5
I FEEL BETTER NOW,5,5
i did good today,5,5
im doing so good today,5,5
its kind of a meh day for me,3,5
im doing so good like its the best day of my life!,5,5
i kinda hit rock bottom right now,2,2
i did pretty well today,4,5
such a good day!,5,5
best day ever!,5,5
such a good day!,5,5
i feel very good today,5,5
good day!!,5,5
BEST DAY EVER,5,5
SUCH A VERY BEAUTIFUL DAY TODAY!,5,5
I DID SO GOOD TODAY,5,5
I feel awful today.,1,1
Nothing went right I’m so frustrated.,1,1
I am completely drained and sad.,1,2
I’m feeling pretty down.,2,2
This day has been rough.,2,2
I can’t focus feeling stressed.,2,3
Today was okay nothing special.,3,3
I’m feeling neutral just another day.,3,3
It was an average day nothing exciting.,3,3
Things are going pretty well.,4,4
I’m happy with how things went today.,4,4
Feeling good after finishing my work.,4,4
I feel amazing today!,5,5
Today was perfect everything went my way!,5,5
Best day ever!,5,5
I’m extremely happy and excited!,5,5
very productive day for me!,5,5
I WAS SO HAPPY,5,5
BEST DAY,5,5
best day!!!!,5,5
i had the best day today,5,5
this day is one of the best day for me.,5,5
best dayy !!,5,5
i had the best day of my life,5,5
BEST DAY EVER!,5,5
best day ever!,5,5
I had the best day today!,5,5
such a good day!,5,5
this is a fantastic day!,5,5
amazing day!,5,5
i had the best day of my life,5,5
it was a good day,3,5
had the best day of my life,4,5
had the best day of my life today,5,5
I feel amazing today everything went perfectly!,5,5
Best day ever!,5,5
Such a beautiful day today!,5,5
I had the most productive day of my life!,5,5
Today was absolutely fantastic!,5,5
I feel great after today’s achievements!,5,5
So happy about how my day went!,5,5
Today was a wonderful day full of joy!,5,5
I’m thrilled with how things turned out today!,5,5
Everything went right today couldn’t be happier!,5,5
I feel exhausted and stressed.,2,2
This day has been rough and challenging.,2,2
I’m feeling down after today’s events.,2,2
Today was not so great feeling a bit off.,2,2
I can’t focus too much happening today.,2,3
I’m neutral about today nothing special happened.,3,3
Today was okay just an average day.,3,3
I feel nothing in particular about today.,3,3
Today went fine nothing too exciting.,3,3
Had a productive day but nothing extraordinary.,4,4
Today was perfect everything went my way!,5,5
I feel awful today.,1,1
Feeling thrilled and grateful today!,5,5
This is the most wonderful day!,5,5
Feeling thrilled and grateful today!,5,5
Best day ever!,5,5
Today is amazing!,5,5
I had the best day today!,5,5
This is the most wonderful day!,5,5
Nothing went right.,1,1
Things are going pretty well.,4,4
Such a beautiful day!,5,5
Today was perfect everything went my way!,5,5
This is the most wonderful day!,5,5
I had the best day today!,5,5
Best day ever!,5,5
This day has been rough.,2,3
Not my day feeling stressed.,2,2
I just can’t catch a break.,1,2
This is the most wonderful day!,5,5
Such a fantastic day!,5,5
I’m extremely happy and excited!,5,5
Such a fantastic day!,5,5
Nothing went right.,1,1
Today is amazing!,5,5
I feel accomplished and satisfied.,4,5
I’m doing alright.,3,3
I had a productive day.,4,5
Best day ever!,5,5
Best day ever!,5,5
"Today was perfect, everything went my way!",5,5
Such a fantastic day!,5,5
Things are fine.,3,3
This is the most wonderful day!,5,5
This is the most wonderful day!,5,5
"Today was perfect everything went my way!",5,5
Feeling good after finishing my work.,4,5
I feel awful today.,1,1
I feel awful today.,1,2
I feel amazing today!,5,5
This day has been rough.,2,2
This day has been rough.,2,2
I feel amazing today!,5,5
I had the best day today!,5,5
Best day ever!,5,5
Feeling good after finishing my work.,4,4
Best day ever!,5,5
"Today was okay nothing special.",3,3
"Today was okay nothing special.",3,3
Feeling thrilled and grateful today!,5,5
"Not my day feeling stressed.",2,3
Such a fantastic day!,5,5
It was an average day.,3,3
I’m doing alright.,3,3
I had a productive day.,4,4
Feeling thrilled and grateful today!,5,5
I’m hopeless and tired.,1,2
"Today was perfect, everything went my way!",5,5
Feeling down and unmotivated.,2,3
I feel accomplished and satisfied.,4,4
Today is amazing!,5,5
"I’m feeling neutral just another day.",3,3
I’m extremely happy and excited!,5,5
I’m extremely happy and excited!,5,5
"I’m feeling neutral just another day.",3,3
"Today was perfect everything went my way!",5,5
"Today was perfect everything went my way!",5,5
I had a productive day.,4,5
I’m hopeless and tired.,1,2
Nothing went right.,1,2
I feel awful today.,1,1
I’m extremely happy and excited!,5,5
This is the most wonderful day!,5,5
I feel awful today.,1,2
"Not my day feeling stressed.",2,2
I feel accomplished and satisfied.,4,5
I’m extremely happy and excited!,5,5
Today is amazing!,5,5
I’m happy with how things went today.,4,4
I feel blue.,2,2
Such a beautiful day!,5,5
Things are fine.,3,3
I just can’t catch a break.,1,1
This is the most wonderful day!,5,5
I feel amazing today!,5,5
"Today was okay nothing special.",3,3
Feeling thrilled and grateful today!,5,5
Today is amazing!,5,5
I’m extremely happy and excited!,5,5
Things are going pretty well.,4,4
Things are going pretty well.,4,5
"Not my day feeling stressed.",2,2
I’m hopeless and tired.,1,1
Nothing went right.,1,2
I’m extremely happy and excited!,5,5
I had the best day today!,5,5
I feel awful today.,1,2
I’m happy with how things went today.,4,4
Nothing went right.,1,2
"Not my day feeling stressed.",2,2
"I’m feeling neutral, just another day.",3,3
I had a productive day.,4,4
I feel accomplished and satisfied.,4,5
This day has been rough.,2,2
I feel amazing today!,5,5
Best day ever!,5,5
Best day ever!,5,5
Feeling thrilled and grateful today!,5,5
Such a fantastic day!,5,5
Feeling good after finishing my work.,4,5
Feeling down and unmotivated.,2,3
Nothing went right.,1,2
I feel blue.,2,3
Feeling down and unmotivated.,2,2
I’m anxious about everything.,2,3
I’m extremely happy and excited!,5,5
I’m anxious about everything.,2,3
Today is amazing!,5,5
"Today was perfect, everything went my way!",5,5
Best day ever!,5,5
I had the best day today!,5,5
I’m happy with how things went today.,4,5
I just can’t catch a break.,1,1
"Not my day feeling stressed.",2,3
Feeling good after finishing my work.,4,4
I feel amazing today!,5,5
"Not my day feeling stressed.",2,3
It was an average day.,3,3
I’m hopeless and tired.,1,1
Feeling thrilled and grateful today!,5,5
I’m happy with how things went today.,4,5
Such a fantastic day!,5,5
Today is amazing!,5,5
I feel amazing today!,5,5
Feeling down and unmotivated,2,2
Things are going pretty well,4,5
I feel blue.,2,3
Things are fine.,3,3
Nothing went right.,1,1
"Today was okay, nothing special.",3,3
I’m hopeless and tired.,1,2
Such a fantastic day!,5,5
I feel amazing today!,5,5
Feeling down and unmotivated.,2,2
Feeling good after finishing my work.,4,4
I feel amazing today!,5,5
I feel blue.,2,2
Nothing went right.,1,2
Such a fantastic day!,5,5
I’m happy with how things went today.,4,4
Best day ever!,5,5
Best day ever!,5,5
Today is amazing!,5,5
"I’m feeling neutral, just another day.",3,3
It was an average day.,3,3
I feel accomplished and satisfied.,4,5
Such a fantastic day!,5,5
This is the most wonderful day!,5,5
Nothing went right.,1,2
I’m happy with how things went today.,4,5
"Not my day feeling stressed.",2,2
I feel amazing today!,5,5
Such a fantastic day!,5,5
Things are fine.,3,3
Feeling good after finishing my work.,4,5
I had the best day today!,5,5
"Today was okay nothing special.",3,3
Best day ever!,5,5
I’m doing alright.,3,3
I’m extremely happy and excited!,5,5
I’m extremely happy and excited!,5,5
I had the best day today!,5,5
I’m doing alright.,3,3
I just can’t catch a break.,1,1
Today is amazing!,5,5
I had a productive day.,4,4
Best day ever!,5,5
I had the best day today!,5,5
This is the most wonderful day!,5,5
I feel amazing today!,5,5
Such a fantastic day!,5,5
Best day ever!,5,5
"Today was okay, nothing special.",3,3
"Today was perfect, everything went my way!",5,5
"Today was okay, nothing special.",3,3
Best day ever!,5,5
Such a beautiful day!,5,5
I’m happy with how things went today.,4,5
Today is amazing!,5,5
I had the best day today!,5,5
This is the most wonderful day!,5,5
I had a productive day.,4,4
Such a beautiful day!,5,5
I had the best day today!,5,5
I feel amazing today!,5,5
Things are fine.,3,3
This is the most wonderful day!,5,5
Such a beautiful day!,5,5
I’m happy with how things went today.,4,4
"Today was okay nothing special.",3,3
Feeling thrilled and grateful today!,5,5
